experiment_id,model_name,compression_method,budget_label,calibration_replicate,seed,sparsity,quantisation_bits,status,git_commit,model_revision,method_version,host,perplexity,perplexity_retention,total_nll,total_tokens,num_sequences,sequence_length,evaluation_device,eval_split,dataset_fingerprint,calibration_fingerprint,measured_sparsity,targeted_parameters
pythia-160m_pruning_moderate_s30_b32_rep0,pythia-160m,pruning,moderate,0,1234,0.3,32,success,b19b98a95c9b7812980ba608f035a8aaeb6015a3,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",45.02426835499812,79.64033055271796,996085.7797851562,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_pruning_moderate_s30_b32_rep1,pythia-160m,pruning,moderate,1,1234,0.3,32,success,b19b98a95c9b7812980ba608f035a8aaeb6015a3,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",44.93109074298966,79.80548781237394,995543.7719726562,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_pruning_moderate_s30_b32_rep2,pythia-160m,pruning,moderate,2,1234,0.3,32,success,b19b98a95c9b7812980ba608f035a8aaeb6015a3,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",45.068195760503315,79.56270612077158,996340.9135742188,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_pruning_moderate_s30_b32_rep3,pythia-160m,pruning,moderate,3,1234,0.3,32,success,b19b98a95c9b7812980ba608f035a8aaeb6015a3,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",44.93065034154269,79.80627005015688,995541.2075195312,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_pruning_moderate_s30_b32_rep4,pythia-160m,pruning,moderate,4,1234,0.3,32,success,b19b98a95c9b7812980ba608f035a8aaeb6015a3,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",44.987983995320526,79.7045632242446,995874.849609375,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_pruning_moderate_s30_b32_rep5,pythia-160m,pruning,moderate,5,1234,0.3,32,success,b19b98a95c9b7812980ba608f035a8aaeb6015a3,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",44.86965296224725,79.91476149154376,995185.77734375,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_pruning_moderate_s30_b32_rep6,pythia-160m,pruning,moderate,6,1234,0.3,32,success,b19b98a95c9b7812980ba608f035a8aaeb6015a3,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",44.98320814807004,79.71302542235802,995847.0737304688,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_pruning_moderate_s30_b32_rep7,pythia-160m,pruning,moderate,7,1234,0.3,32,success,b19b98a95c9b7812980ba608f035a8aaeb6015a3,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",44.88264824541447,79.89162304059619,995261.541015625,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_quantisation_aggressive_s00_b4_rep0,pythia-160m,quantisation,aggressive,0,1234,0.0,4,success,b19b98a95c9b7812980ba608f035a8aaeb6015a3,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",52.50951876176885,68.28757336273745,1036322.9033203125,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
pythia-160m_quantisation_aggressive_s00_b4_rep1,pythia-160m,quantisation,aggressive,1,1234,0.0,4,success,b19b98a95c9b7812980ba608f035a8aaeb6015a3,50f5173d932e8e61f858120bcb800b97af589f46,4,"Windows|Intel64 Family 6 Model 186 Stepping 2, GenuineIntel|16|NVIDIA GeForce RTX 4050 Laptop GPU",51.24879527670698,69.96745182644483,1029964.6303710938,261632,512,512,cpu,test,9939fb7302c336ce,,,84934656
